Id,Cat
0,1
1,2
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,2
14,2
15,2
16,2
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,2
30,1
31,1
32,1
33,2
34,1
35,2
36,2
37,1
38,1
39,2
40,1
41,2
42,2
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,1
53,1
54,1
55,1
56,2
57,2
58,2
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,2
67,2
68,2
69,1
70,2
71,2
72,1
73,1
74,2
75,2
76,2
77,2
78,2
79,1
80,2
81,1
82,2
83,2
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,1
92,1
93,1
94,1
95,1
96,1
97,2
98,2
99,2
100,2
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,2
111,2
112,2
113,1
114,2
115,1
116,2
117,2
118,1
119,1
120,2
121,2
122,2
123,2
124,1
125,2
126,1
127,2
128,2
129,2
130,2
131,2
132,2
133,1
134,2
135,1
136,2
137,2
138,2
139,2
140,2
141,2
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,2
160,1
161,2
162,1
163,2
164,1
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,2
178,2
179,1
180,1
181,2
182,1
183,1
184,1
185,1
186,1
187,2
188,1
189,2
190,2
191,2
192,1
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,1
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,1
211,2
212,2
213,1
214,1
215,2
216,2
217,2
218,2
219,1
220,2
221,1
222,1
223,1
224,1
225,1
226,1
227,2
228,2
229,2
230,1
231,1
232,1
233,1
234,2
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,2
246,2
247,1
248,1
249,1
250,2
251,1
252,2
253,1
254,2
255,2
256,2
257,2
258,2
259,2
260,1
261,2
262,2
263,1
264,2
265,1
266,1
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,2
275,1
276,2
277,2
278,2
279,2
280,2
281,1
282,1
283,1
284,2
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,2
295,2
296,2
297,1
298,2
299,1
300,1
301,2
302,1
303,1
304,1
305,1
306,1
307,2
308,1
309,2
310,1
311,1
312,2
313,1
314,1
315,1
316,1
317,1
318,1
319,2
320,1
321,1
322,1
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,1
332,2
333,2
334,2
335,2
336,2
337,1
338,2
339,2
340,2
341,1
342,1
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,1
351,2
352,2
353,1
354,1
355,2
356,2
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,2
371,1
372,1
373,1
374,2
375,1
376,2
377,1
378,2
379,1
380,1
381,1
382,2
383,1
384,2
385,1
386,2
387,2
388,2
389,1
390,2
391,2
392,2
393,2
394,2
395,1
396,1
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,2
416,2
417,2
418,2
419,2
420,1
421,1
422,1
423,1
424,2
425,1
426,1
427,1
428,1
429,1
430,2
431,2
432,2
433,1
434,1
435,2
436,2
437,1
438,1
439,2
440,2
441,2
442,2
443,2
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,1
460,2
461,2
462,2
463,2
464,2
465,1
466,1
467,2
468,2
469,2
470,2
471,2
472,2
473,1
474,1
475,1
476,1
477,1
478,1
479,2
480,1
481,2
482,2
483,2
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,2
508,1
509,1
510,2
511,2
512,1
513,1
514,2
515,1
516,2
517,2
518,2
519,2
520,2
521,2
522,2
523,2
524,2
525,2
526,2
527,2
528,2
529,1
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,1
540,1
541,2
542,2
543,2
544,2
545,1
546,1
547,2
548,2
549,2
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,2
558,1
559,2
560,1
561,1
562,1
563,1
564,1
565,2
566,1
567,2
568,1
569,1
570,2
571,1
572,2
573,2
574,2
575,1
576,1
577,1
578,1
579,2
580,1
581,1
582,2
583,2
584,1
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,1
596,1
597,1
598,2
599,1
600,2
601,2
602,1
603,2
604,2
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,2
614,2
615,2
616,2
617,1
618,2
619,1
620,1
621,2
622,1
623,1
624,1
625,1
626,2
627,1
628,1
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,2
639,2
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,1
650,2
651,2
652,2
653,2
654,2
655,2
656,1
657,2
658,2
659,1
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,1
669,2
670,2
671,2
672,2
673,1
674,1
675,2
676,2
677,1
678,2
679,2
680,2
681,2
682,1
683,1
684,1
685,1
686,1
687,1
688,2
689,2
690,2
691,2
692,1
693,1
694,1
695,2
696,1
697,1
698,1
699,1
700,2
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,2
715,2
716,2
717,1
718,1
719,2
720,1
721,1
722,2
723,1
724,1
725,1
726,2
727,2
728,2
729,2
730,2
731,1
732,2
733,1
734,2
735,2
736,1
737,2
738,2
739,1
740,2
741,2
742,2
743,2
744,1
745,2
746,2
747,1
748,1
749,2
750,1
751,1
752,1
753,1
754,2
755,2
756,2
757,1
758,2
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,2
774,1
775,2
776,1
777,1
778,1
779,1
780,1
781,1
782,2
783,2
784,1
785,2
786,1
787,1
788,1
789,1
790,1
791,2
792,2
793,2
794,2
795,2
796,2
797,2
798,2
799,2
800,2
801,2
802,2
803,2
804,2
805,1
806,2
807,2
808,1
809,2
810,2
811,2
812,2
813,2
814,2
815,2
816,2
817,2
818,2
819,2
820,2
821,2
822,2
823,1
824,1
825,1
826,1
827,2
828,2
829,1
830,1
831,1
832,2
833,2
834,2
835,2
836,2
837,1
838,2
839,1
840,2
841,1
842,1
843,1
844,2
845,1
846,1
847,1
848,1
849,2
850,1
851,1
852,1
853,1
854,2
855,1
856,1
857,1
858,1
859,1
860,2
861,1
862,1
863,1
864,1
865,1
866,1
867,1
868,2
869,2
870,2
871,2
872,1
873,1
874,1
875,1
876,1
877,2
878,1
879,1
880,2
881,1
882,2
883,2
884,2
885,2
886,2
887,1
888,1
889,2
890,2
891,2
892,2
893,2
894,1
895,1
896,2
897,2
898,2
899,2
900,2
901,2
902,1
903,2
904,2
905,1
906,2
907,2
908,1
909,2
910,2
911,1
912,1
913,1
914,2
915,1
916,1
917,1
918,1
919,1
920,2
921,2
922,1
923,2
924,1
925,1
926,1
927,2
928,1
929,1
930,1
931,2
932,1
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,1
944,2
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,2
958,2
959,2
960,1
961,2
962,2
